culture,criticality,criticalitymodifier,initialknown,interdependency,dynamism,size,plan,teamsize,cost,score,completion,idle
0.5687884460411469, 0.8527940635105624, 9, 0.5593195394101916, 33, 11, 0, 1, 10, 360.3642095327009, 0.6726540524942687, 0.7804878048780488, 0.2727272727272727
0.795992554839179, 0.9123618147889782, 8, 0.4994538542792466, 91, 41, 2, 3, 6, 644.4766697744094, 0.4438517543319473, 0.9084967320261438, 0.3443396226415094
0.8637167609507527, 1.1673700895528936, 5, 0.6093841441354694, 53, 18, 2, 2, 42, 1103.5159943598126, 0.5042393169861613, 0.9615384615384616, 0.4897959183673469
0.6491930226096096, 0.9629697375612785, 10, 0.5874624839054423, 82, 35, 3, 3, 41, 1824.9601250810451, 0.4656047602859234, 0.6422976501305483, 0.0
0.544075605593352, 1.1618829683347154, 8, 0.4023820348189136, 90, 42, 4, 2, 27, 2405.963961798018, 0.4722510218537282, 0.9355311355311355, 0.2901612006670372
0.10338802236309581, 1.1323677356890358, 2, 0.5986841614480756, 68, 46, 0, 2, 40, 167.70720243534282, 0.6755084642211762, 1.0, 0.375
0.5430104977596475, 1.08159726925927, 7, 0.5655888974491867, 5, 41, 2, 2, 18, 1255.0484799581611, 0.4583802229414762, 0.7521367521367521, 0.0736842105263158
0.259386711327091, 1.0034114977595827, 8, 0.5081875950623715, 6, 26, 0, 3, 35, 659.9724841567237, 0.7546096264015802, 0.6153846153846154, 0.33333333333333337
0.3182443357738299, 1.1607401592626054, 6, 0.5938197224779127, 56, 40, 0, 2, 38, 479.32489715270606, 0.7577712040054364, 1.0, 0.4285714285714286
0.6126836888327402, 0.9275375244232277, 5, 0.4852328080541736, 90, 2, 1, 0, 33, 441.11470186195066, 0.8667771734937731, 0.975609756097561, 0.3650793650793651
0.7889548535504834, 0.868111941407112, 3, 0.6300292714284497, 31, 6, 3, 5, 5, 328.4925809493264, 0.6475901091951386, 0.9451754385964912, 0.5074285714285715
0.201254255258596, 0.9835391362107297, 4, 0.49230957116608165, 34, 14, 1, 1, 18, 334.22672024092583, 0.8809944480586905, 0.9032258064516129, 0.05084745762711862
0.12461648941237265, 0.9429942838819788, 3, 0.5500147167277288, 64, 6, 3, 2, 7, 370.75299942108296, 0.9642464481399295, 0.766, 0.015424164524421635
0.28955330365111, 0.9328577972229872, 7, 0.45156187607824566, 9, 27, 0, 1, 20, 361.97829732275534, 0.643894553734927, 0.8666666666666667, 0.45833333333333337
0.38883929212440393, 1.0596974992663253, 3, 0.5485287210061965, 85, 28, 3, 3, 13, 491.2334835232516, 0.6841544043313336, 0.6682242990654206, 0.01038062283737029
0.30729085955695046, 0.8989993399718276, 7, 0.43638665945113236, 18, 20, 1, 5, 7, 372.4977009891669, 0.6199536151816233, 0.9571428571428572, 0.45967741935483875
0.22920171669007489, 0.8909825129221065, 7, 0.4982903200393609, 19, 15, 0, 4, 9, 445.66361662889796, 0.5558807601806842, 0.8571428571428571, 0.6666666666666667
0.832849832290626, 0.9369497807544951, 5, 0.508593835729623, 40, 22, 2, 2, 11, 603.0299157392676, 0.4544889295882638, 0.8793103448275862, 0.3584905660377359
0.7768251589875426, 1.0474503120796235, 6, 0.6284437271003505, 14, 37, 1, 1, 24, 870.2318356464381, 0.5186617017530938, 0.9375, 0.1428571428571429
0.44578211990695216, 0.989518958090111, 8, 0.5799731706594384, 20, 18, 2, 3, 15, 891.0004491191132, 0.5450637728200799, 0.9565217391304348, 0.47079037800687284
