$x,y
0.006718212205620061, 'a'
0.042371686846861635, 'a'
0.038188730948830706, 'a'
0.012753451286971085, 'a'
0.02477175435459705, 'a'
0.22247455323943693, 'a'
0.23257964863613817, 'a'
0.23943616755677566, 'a'
0.20469297933871175, 'a'
0.20141737382610034, 'a'
0.4417882551959935, 'b'
0.4216383533952527, 'b'
0.43811400412289714, 'b'
0.40010530266755556, 'b'
0.4222693597027401, 'b'
0.6360770016170391, 'c'
0.6114381110635226, 'c'
0.647263534777696, 'c'
0.6450713728805741, 'c'
0.6015294991516776, 'c'
0.8012722930496731, 'c'
0.8270706236396749, 'c'
0.8469574581389255, 'c'
0.8190602118844107, 'c'
0.8108299698565307, 'c'
0.006718212205620061, 'a'
0.042371686846861635, 'a'
0.038188730948830706, 'a'
0.012753451286971085, 'a'
0.02477175435459705, 'a'
0.22247455323943693, 'a'
0.23257964863613817, 'a'
0.23943616755677566, 'a'
0.20469297933871175, 'a'
0.20141737382610034, 'a'
0.4417882551959935, 'b'
0.4216383533952527, 'b'
0.43811400412289714, 'b'
0.40010530266755556, 'b'
0.4222693597027401, 'b'
0.6360770016170391, 'c'
0.6114381110635226, 'c'
0.647263534777696, 'c'
0.6450713728805741, 'c'
0.6015294991516776, 'c'
0.8012722930496731, 'c'
0.8270706236396749, 'c'
0.8469574581389255, 'c'
0.8190602118844107, 'c'
0.8108299698565307, 'c'
0.006718212205620061, 'a'
0.042371686846861635, 'a'
0.038188730948830706, 'a'
0.012753451286971085, 'a'
0.02477175435459705, 'a'
0.22247455323943693, 'a'
0.23257964863613817, 'a'
0.23943616755677566, 'a'
0.20469297933871175, 'a'
0.20141737382610034, 'a'
0.4417882551959935, 'b'
0.4216383533952527, 'b'
0.43811400412289714, 'b'
0.40010530266755556, 'b'
0.4222693597027401, 'b'
0.6360770016170391, 'c'
0.6114381110635226, 'c'
0.647263534777696, 'c'
0.6450713728805741, 'c'
0.6015294991516776, 'c'
0.8012722930496731, 'c'
0.8270706236396749, 'c'
0.8469574581389255, 'c'
0.8190602118844107, 'c'
0.8108299698565307, 'c'
0.006718212205620061, 'a'
0.042371686846861635, 'a'
0.038188730948830706, 'a'
0.012753451286971085, 'a'
0.02477175435459705, 'a'
0.22247455323943693, 'a'
0.23257964863613817, 'a'
0.23943616755677566, 'a'
0.20469297933871175, 'a'
0.20141737382610034, 'a'
0.4417882551959935, 'b'
0.4216383533952527, 'b'
0.43811400412289714, 'b'
0.40010530266755556, 'b'
0.4222693597027401, 'b'
0.6360770016170391, 'c'
0.6114381110635226, 'c'
0.647263534777696, 'c'
0.6450713728805741, 'c'
0.6015294991516776, 'c'
0.8012722930496731, 'c'
0.8270706236396749, 'c'
0.8469574581389255, 'c'
0.8190602118844107, 'c'
0.8108299698565307, 'c'
0.006718212205620061, 'a'
0.042371686846861635, 'a'
0.038188730948830706, 'a'
0.012753451286971085, 'a'
0.02477175435459705, 'a'
0.22247455323943693, 'a'
0.23257964863613817, 'a'
0.23943616755677566, 'a'
0.20469297933871175, 'a'
0.20141737382610034, 'a'
0.4417882551959935, 'b'
0.4216383533952527, 'b'
0.43811400412289714, 'b'
0.40010530266755556, 'b'
0.4222693597027401, 'b'
0.6360770016170391, 'c'
0.6114381110635226, 'c'
0.647263534777696, 'c'
0.6450713728805741, 'c'
0.6015294991516776, 'c'
0.8012722930496731, 'c'
0.8270706236396749, 'c'
0.8469574581389255, 'c'
0.8190602118844107, 'c'
0.8108299698565307, 'c'
